Created Due : Mon Aug  1 15:39:25 2022

Time,actual_pos,actual_vel,actual_tor
1659335972791762156,-4128,0,-10,
1659335972792191401,-4128,0,-14,
1659335972793172355,-4128,0,45,
1659335972794158805,-4128,0,-28,
1659335972795185497,-4128,0,3,
1659335972796176742,-4128,0,-12,
1659335972797195713,-4128,0,14,
1659335972798172845,-4128,0,-14,
1659335972799170996,-4128,-37,-5,
1659335972800190965,-4129,0,5,
1659335972801170081,-4129,37,43,
1659335972802165378,-4128,0,38,
1659335972803175600,-4128,0,36,
1659335972804176161,-4128,0,7,
1659335972805165998,-4128,0,-14,
1659335972806191168,-4128,0,-5,
1659335972807175321,-4128,0,-9,
1659335972808179041,-4128,0,26,
1659335972809230107,-4128,0,5,
1659335972810178514,-4128,0,3,
1659335972811177245,-4128,0,-3,
1659335972812199811,-4128,0,5,
1659335972813184255,-4128,0,-7,
1659335972814177455,-4129,0,0,
1659335972815152718,-4129,0,-9,
1659335972816161538,-4129,0,-17,
1659335972817176099,-4129,0,-8,
1659335972818175697,-4128,0,-47,
1659335972819173777,-4128,0,14,
1659335972820173461,-4127,0,-10,
1659335972821162787,-4127,0,50,
1659335972822193428,-4127,0,12,
1659335972823933158,-4127,0,-3,
1659335972824149069,-4128,0,21,
1659335972825159583,-4128,0,-3,
1659335972826169986,-4128,0,32,
1659335972827154047,-4128,0,7,
1659335972828151480,-4128,0,3,
1659335972829148929,-4128,0,5,
1659335972830150796,-4128,0,12,
1659335972831152231,-4128,0,7,
1659335972832151059,-4128,0,28,
1659335972833151947,-4128,0,-5,
1659335972834173297,-4128,0,0,
1659335972835168543,-4128,0,12,
1659335972836175079,-4128,0,5,
1659335972837171285,-4128,0,28,
1659335972838170990,-4129,0,21,
1659335972839171748,-4129,0,47,
1659335972840171492,-4128,0,11,
1659335972841162108,-4127,0,-26,
1659335972842183859,-4127,0,36,
1659335972843164851,-4127,0,-24,
1659335972844157687,-4127,0,-29,
1659335972845153453,-4128,0,47,
1659335972846157211,-4128,0,36,
1659335972847153007,-4128,0,-5,
1659335972848152862,-4129,0,7,
1659335972849173362,-4129,0,59,
1659335972850184144,-4127,37,28,
1659335972851175624,-4127,0,-36,
1659335972852175405,-4128,-37,-7,
1659335972854044150,-4128,0,0,
1659335972854214842,-4128,0,16,
1659335972855156294,-4128,0,33,
1659335972856164129,-4128,0,-7,
1659335972857156472,-4128,0,0,
1659335972858158544,-4128,0,-17,
1659335972859152961,-4128,0,26,
1659335972860152788,-4127,0,33,
1659335972861156881,-4127,0,5,
1659335972864678388,-4128,0,3,
1659335972865170272,-4128,0,18,
1659335972866184289,-4128,0,12,
1659335972867176552,-4128,0,5,
1659335972868177583,-4128,0,-5,
1659335972869220550,-4128,0,26,
1659335972870210006,-4128,0,-7,
1659335972871181411,-4128,0,-5,
1659335972872181256,-4128,0,14,
1659335972873197666,-4129,0,14,
1659335972874196644,-4129,0,29,
1659335972875184790,-4129,0,45,
1659335972876182412,-4129,0,-7,
1659335972877174259,-4128,0,-36,
1659335972878179873,-4128,0,-17,
1659335972879176659,-4128,0,-14,
1659335972880176476,-4128,0,47,
1659335972881174713,-4128,0,7,
1659335972882180192,-4128,0,-5,
1659335972884087103,-4128,0,36,
1659335972884260389,-4128,0,16,
1659335972885172155,-4128,0,5,
1659335972886174988,-4128,0,24,
1659335972887177654,-4128,0,10,
1659335972888154639,-4128,0,-19,
1659335972889158412,-4128,0,-26,
1659335972890159591,-4128,0,-19,
1659335972891154829,-4128,0,-9,
1659335972892152257,-4127,0,-10,
1659335972893155125,-4127,0,-5,
1659335972894156147,-4128,-37,36,
1659335972895153629,-4128,0,-17,
1659335972896179008,-4128,0,12,
