Created Due : Wed Aug  3 11:30:34 2022

Time,actual_pos,actual_vel,actual_tor
1659493836146541878,0,0,-31,
1659493836148517641,1,0,-51,
1659493836150536278,1,0,-11,
1659493836152521248,0,0,-31,
1659493836154543323,-1,0,-11,
1659493836156497173,-1,0,9,
1659493836158538964,0,0,-26,
1659493836160566476,0,0,14,
1659493836162532729,0,0,4,
1659493836164531698,-2,0,44,
1659493836166546366,-2,0,-21,
1659493836168527379,-1,0,-46,
1659493836170619560,-1,0,-16,
1659493836172518223,-1,0,-11,
1659493836174509953,-1,0,-6,
1659493836176525460,-2,0,4,
1659493836178493445,-1,37,-11,
1659493836180863877,-1,0,-31,
1659493836184446661,-1,0,-6,
1659493836184533814,-1,0,-11,
1659493836186515668,-1,0,-46,
1659493836188492343,-1,0,-46,
1659493836190513353,1,0,-16,
1659493836192536175,1,0,-16,
1659493836194516384,-1,0,-6,
1659493836196560669,-1,0,29,
1659493836198603788,0,0,19,
1659493836200694165,0,0,-21,
1659493836202681393,0,0,4,
1659493836204535073,-1,0,-11,
1659493836206538570,-1,0,24,
1659493836208540280,-2,-37,-21,
1659493836210681716,-2,0,4,
1659493836212615698,-1,37,-11,
1659493836214538808,0,0,-6,
1659493836216657169,-1,0,9,
1659493836218515266,-1,0,4,
1659493836220600682,-1,0,-11,
1659493836222605650,-1,0,-6,
1659493836224491128,-1,0,34,
1659493836226614983,-1,0,-21,
1659493836228505302,-1,0,34,
1659493836230704833,-1,0,14,
1659493836232671301,-1,0,-1,
1659493836234627872,0,0,-11,
1659493836236535645,0,0,-16,
1659493836238509860,0,0,44,
1659493836240518348,-1,0,-11,
1659493836242509956,-1,0,4,
1659493836244535139,-1,0,4,
1659493836246536891,-1,0,-41,
1659493836248530301,-2,0,14,
1659493836250542880,-1,0,-36,
1659493836252536675,-1,0,9,
1659493836254537922,-2,0,54,
1659493836256541338,-2,0,-11,
1659493836258530299,-2,0,24,
1659493836260703445,-1,0,-41,
1659493836262663762,0,0,-41,
1659493836264619262,-1,-37,-16,
1659493836266535437,-1,0,-11,
1659493836268620304,0,37,-1,
1659493836270491645,0,0,-21,
1659493836272553675,0,0,4,
1659493836274546376,-1,0,-11,
1659493836276533182,0,37,-16,
1659493836278476047,0,0,24,
1659493836280596330,-1,0,-6,
1659493836284239417,-2,0,4,
1659493836284499828,-1,37,4,
1659493836286541063,-1,0,14,
1659493836288505644,-2,0,14,
1659493836290674492,-2,0,-1,
1659493836292596793,-2,0,24,
1659493836294614070,-1,0,-41,
1659493836296539338,0,37,9,
1659493836298540000,0,0,-11,
1659493836300528263,-1,0,-6,
1659493836302552353,-1,0,-21,
1659493836304544049,0,0,-16,
1659493836306533308,-1,-37,-1,
1659493836308530979,-1,0,-26,
1659493836310611611,0,0,4,
1659493836312549932,0,0,-11,
1659493836314608783,0,0,-31,
1659493836316608052,-1,0,9,
1659493836318553679,-1,0,-16,
1659493836320655777,0,0,-21,
1659493836322587138,-1,0,-11,
1659493836324600546,-2,0,-16,
1659493836326620120,-2,0,-51,
1659493836328517134,-2,0,4,
1659493836330616529,-2,0,-6,
1659493836332923682,-2,0,14,
1659493836334545952,-2,0,9,
1659493836336550112,-2,0,-26,
1659493836338486753,-2,0,44,
1659493836340526316,-2,0,29,
1659493836342532308,-2,0,-31,
1659493836344540079,-1,0,9,
1659493836346531549,-1,0,-41,
1659493836348524431,-1,0,-26,
1659493836350711471,-1,0,4,
1659493836352656744,0,37,-1,
1659493836354541588,0,0,-31,
1659493836356611406,-1,0,-6,
1659493836358603291,-1,0,4,
1659493836360544770,-1,0,-1,
1659493836362618014,-1,0,9,
1659493836364541063,0,0,-46,
1659493836366548136,-1,0,-6,
1659493836368608454,-1,0,-21,
1659493836370631607,-1,0,29,
1659493836372646459,-1,0,39,
1659493836374624976,-1,0,-16,
